pol	phi	weight
0.331453	170.369	-0.065
0.305055	-114.935	-0.065
0.312835	-156.29	1
0.311263	-156.29	-0.065
-0.346	-77.6677	-0.065
-0.328677	-11.5229	-0.065
-0.311395	-11.5229	1
0.342824	-117.741	-0.065
0.300391	-117.741	-0.065
-0.346	-46.2166	1
-0.342102	57.7994	-0.065
-0.328677	57.7994	-0.065
-0.305163	57.7994	1
-0.350179	121.496	-0.065
-0.314528	121.496	-0.065
0.311263	-80.0111	-0.065
0.312835	-164.625	1
-0.333296	-104.22	1
0.341524	-73.5365	1
-0.352424	-178.254	-0.065
-0.350952	-178.254	-0.065
0.349702	-56.8904	-0.065
0.303514	-56.8904	1
-0.320848	-11.44	1
-0.336321	-11.44	-0.065
0.331453	-66.1746	-0.065
-0.328677	-116.595	1
0.337373	90.6643	-0.065
-0.35095	37.9257	1
-0.328677	37.9257	-0.065
-0.351123	59.323	1
-0.347184	59.323	-0.065
-0.334292	-38.9872	1
0.325332	-118.275	1
-0.342102	-127.914	1
0.337373	51.588	1
0.311901	-152.458	-0.065
0.323782	-69.8592	-0.065
-0.351123	176.243	-0.065
0.301958	50.3426	-0.065
0.33445	30.6569	-0.065
0.345243	-18.7522	-0.065
-0.320848	88.0693	1
-0.320848	163.117	-0.065
0.301958	-173.079	-0.065
-0.306733	48.47	1
0.33592	-141.029	1
0.306596	165.481	-0.065
0.350638	-25.8722	1
0.315979	-25.8722	-0.065
-0.352424	-161.948	-0.065
-0.331764	-77.5519	1
-0.333296	-77.5519	-0.065
0.323782	-28.3431	1
-0.342102	170.03	1
0.337373	-16.2483	-0.065
0.350638	-87.9806	1
-0.351601	-157.641	-0.065
-0.32034	-157.641	1
-0.352343	68.9866	1
-0.35185	29.7438	-0.065
-0.317688	-62.1525	-0.065
0.329933	160.276	1
-0.345243	106.962	1
0.321085	129.627	-0.065
-0.322231	-19.5953	-0.065
0.33464	85.1704	1
0.317983	-13.3092	1
-0.342824	-34.3233	1
-0.305055	-34.3233	-0.065
0.311736	51.5659	1
-0.350182	100.737	1
-0.332957	100.737	-0.065
-0.337373	164.452	-0.065
0.342525	33.025	-0.065
0.325698	33.025	-0.065
-0.338795	61.7892	-0.065
0.30243	3.86593	1
0.299338	33.9188	-0.065
0.32263	14.8532	1
0.314866	-46.1209	1
0.34009	130.271	-0.065
0.316428	130.271	-0.065
0.321085	-7.73881	1
0.316428	-7.73881	-0.065
-0.323782	-100.099	-0.065
-0.305055	-100.099	1
-0.326871	-144.679	1
-0.350638	173.811	1
-0.329933	173.811	-0.065
-0.309698	173.811	-0.065
0.337444	-108.53	1
0.299338	-108.53	-0.065
-0.306596	150.943	1
0.30243	-70.0963	1
0.344659	24.3013	1
-0.350638	-62.9489	1
-0.34736	-62.9489	-0.065
-0.340182	73.2267	-0.065
-0.312835	73.2267	1
-0.311263	65.3962	-0.065
0.347136	68.4136	-0.065
0.325698	68.4136	1
-0.325332	72.4411	-0.065
0.321085	-35.0915	1
0.324166	-35.0915	-0.065
0.325698	-35.0915	-0.065
0.30243	-39.1798	-0.065
-0.350182	35.4695	-0.065
-0.314406	35.4695	-0.065
-0.312835	35.4695	1
0.308606	102.025	-0.065
0.33464	-24.7831	-0.065
-0.307383	-64.7474	-0.065
0.311241	28.6236	-0.065
-0.338788	-3.3922	1
-0.328263	-3.3922	1
-0.342943	-122.189	1
-0.322035	-122.189	1
