,toybin0000
739,0.298392
740,0.526389
741,0.44549
742,0.309457
743,0.241408
744,0.241408
745,0.726423
746,0.700415
747,0.720472
748,0.737995
749,0.72887
750,0.729982
751,0.733645
752,0.24833
753,0.182158
754,0.268956
755,0.293425
756,0.196419
757,0.539561
758,0.520568
759,0.510478
760,0.384339
761,0.582526
762,0.720672
763,0.56633
764,0.397354
765,0.554502
766,0.402379
767,0.513033
768,0.510167
769,0.436431
770,0.348758
771,0.436898
772,0.308277
773,0.463912
774,0.453745
775,0.449826
776,0.246003
777,0.287971
778,0.30281
779,0.565131
780,0.532914
781,0.313258
782,0.508382
783,0.256706
784,0.433775
785,0.313617
786,0.412208
787,0.256652
788,0.256652
789,0.232712
790,0.283075
791,0.443669
792,0.435568
793,0.388433
794,0.526121
795,0.261788
796,0.285535
797,0.321694
798,0.603023
799,0.372439
800,0.441712
801,0.440488
802,0.369769
803,0.404437
804,0.34516
805,0.593023
806,0.486737
807,0.480672
808,0.358404
809,0.334733
810,0.555471
811,0.458451
812,0.469758
813,0.297253
814,0.38847
815,0.384345
816,0.389679
817,0.467518
818,0.636694
819,0.496195
820,0.479634
821,0.496855
822,0.469886
823,0.439664
824,0.498616
825,0.525242
826,0.453447
827,0.4538
828,0.170052
829,0.161324
830,0.125116
831,0.364994
832,-0.0791227
833,-0.000709591
834,0.485847
835,0.266799
836,0.31279
837,0.313374
838,0.455175
839,0.445175
840,0.423253
841,0.434819
842,0.585442
843,0.568729
844,0.365203
845,0.485556
846,0.482598
847,0.297926
848,0.479788
849,0.47371
850,0.283673
851,0.274546
852,0.532023
853,0.389094
854,0.439819
855,0.524686
856,0.546133
857,0.574107
858,0.554796
859,0.55372
860,0.591316
861,0.345701
862,0.317602
863,0.297206
864,0.374333
865,0.395634
866,0.376617
867,0.420632
868,0.497214
869,0.273581
870,0.314268
871,0.266959
872,0.475734
873,0.280185
874,0.257751
875,0.471317
876,0.494439
877,0.47518
878,0.428521
879,0.384447
880,0.410034
881,0.367805
882,0.410286
883,0.381922
884,0.3828
885,0.372094
886,0.600926
887,0.609616
888,0.31291
889,0.447537
890,0.38122
891,0.42757
892,0.551376
893,0.236091
894,0.221333
895,0.136626
896,0.462023
897,0.473151
898,0.484529
899,0.385493
900,0.342086
901,0.438215
902,0.420062
903,0.306334
904,0.42735
905,0.286244
906,0.398904
907,0.360515
908,0.503768
909,0.424682
910,0.475875
911,0.485975
912,0.129443
913,0.4805
914,0.489708
915,0.274832
916,0.300575
917,0.272917
918,0.256849
919,0.493907
920,0.472819
921,0.327448
922,0.309694
923,0.470959
924,0.588741
925,0.588741
926,0.54818
927,0.644429
928,0.608297
929,0.183973
930,0.26382
931,0.271749
932,0.271749
933,0.39948
934,0.456699
935,0.481238
936,0.42632
937,0.425353
938,0.568082
939,0.501781
940,0.477712
941,0.414073
942,0.426078
943,0.356361
944,0.436371
945,0.588983
946,0.563937
947,0.58841
948,0.588166
949,0.395712
950,0.383491
951,0.481503
952,0.503794
953,0.503794
954,0.338399
955,0.360157
956,0.188752
957,0.287291
958,0.287291
959,0.422681
960,0.381596
961,0.393199
962,0.4067
963,0.43917
964,0.681365
965,0.717117
966,0.703663
967,0.587844
968,0.373867
969,0.443017
970,0.567449
971,0.601899
972,0.58353
973,0.568678
974,0.60238
975,0.424118
976,0.518117
977,0.418402
978,0.428031
979,0.291561
980,0.50557
981,0.419449
982,0.518626
983,0.29301
984,0.268939
985,0.318463
986,0.449049
987,0.470933
988,0.484657
989,0.506522
990,0.377416
991,0.371714
992,0.382352
993,0.518485
994,0.482796
995,0.51464
996,0.537399
997,0.62746
998,0.612814
999,0.588659
1000,0.316791
1001,0.487026
1002,0.44983
1003,0.379002
1004,0.415843
1005,0.396506
1006,0.532965
1007,0.532965
1008,0.253661
1009,0.531443
1010,0.329151
1011,0.343316
1012,0.330985
1013,0.330985
1014,0.414684
1015,0.324199
1016,0.444833
1017,0.447372
1018,0.358578
1019,0.505568
1020,0.351841
1021,0.397422
1022,0.32763
1023,0.32763
1024,0.45395
1025,0.516844
1026,0.400827
1027,0.414
1028,0.451615
1029,0.361975
1030,0.275668
1031,0.266431
1032,0.533563
1033,0.274065
1034,0.526687
1035,0.389771
1036,0.339664
1037,0.335746
1038,0.394931
1039,0.504317
