pol	phi	weight
-0.351468	-140.383	1
-0.353206	178.486	1
0.322447	-4.4481	-0.047619
0.340198	-89.9282	-0.047619
0.319331	115.131	1
0.328605	-163.661	1
0.325541	-170.343	1
0.320889	-170.343	-0.0380952
-0.332019	-1.02515	-0.047619
0.320349	-125.786	1
-0.341199	130.092	1
0.340198	-62.0106	1
-0.354876	41.6059	1
-0.353901	137.274	-0.047619
0.328605	50.9893	-0.0714286
0.327076	-66.1417	-0.047619
-0.330445	179.571	1
0.331631	97.3739	-0.0380952
-0.335136	111.259	-0.0380952
0.319326	98.69	-0.0380952
0.344987	22.8559	1
-0.353206	122.557	1
-0.349312	122.557	-0.047619
-0.332019	-162.726	1
0.328605	57.8079	1
-0.353206	-18.0502	-0.0380952
-0.337063	124.38	1
-0.354414	-91.514	1
-0.353206	87.7025	1
-0.341199	87.7025	-0.047619
0.322447	76.612	-0.047619
-0.338197	104.655	-0.047619
0.334592	8.99805	-0.047619
-0.354414	118.912	1
0.322447	73.7764	1
0.322447	-93.4425	-0.047619
-0.352391	-96.4392	1
-0.354876	-11.801	-0.047619
-0.354414	-11.801	1
0.330121	132.392	1
-0.353206	109.988	-0.047619
-0.346811	109.988	1
-0.338205	-31.8131	1
-0.353206	174.091	-0.0380952
-0.335136	174.091	1
0.325444	132.664	-0.047619
0.341489	132.664	-0.047619
-0.344087	-82.0468	1
0.319331	61.0195	1
0.331631	-26.0983	-0.0666667
-0.338205	-144.379	-0.0190476
-0.336677	-144.379	-0.0190476
-0.344087	-97.1554	-0.0380952
0.33604	5.70739	1
-0.354923	60.7206	1
0.345984	-88.3999	-0.0380952
0.343903	-72.2027	1
0.323996	-72.2027	-0.0380952
0.322447	57.9066	-0.0380952
0.346894	160.797	1
-0.354566	-34.2295	1
-0.354414	-89.2326	-0.047619
-0.342656	-89.2326	-0.047619
-0.354762	-120.54	1
0.342728	-90.8499	1
0.346894	-90.8499	-0.0285714
0.322447	-90.8499	-0.0285714
-0.332013	-53.7995	1
0.346894	23.8859	1
0.327076	110.519	1
0.337465	32.0402	-0.0380952
0.327076	176.741	1
-0.354923	-177.328	1
-0.354923	-146.584	1
-0.353206	-146.584	-0.047619
0.346894	-61.253	-0.047619
0.32398	-69.9822	-0.047619
0.317765	71.9126	-0.047619
-0.345032	-106.022	-0.047619
-0.341199	-106.022	1
0.333119	-25.5559	-0.0380952
0.341489	77.349	-0.0380952
-0.353206	-166.126	-0.047619
0.341489	-104.677	-0.047619
-0.349312	104.044	1
-0.353206	92.97	-0.047619
0.340198	-113.75	-0.047619
0.331631	-152.379	-0.0380952
-0.338136	-101.822	1
-0.332019	-153.988	-0.0380952
-0.351468	26.8867	1
-0.345469	26.8867	-0.047619
0.319331	59.0479	-0.047619
0.330121	-2.23009	1
0.334592	-2.23009	-0.0380952
-0.344087	112.508	-0.0714286
0.322439	95.0387	-0.0380952
0.334592	98.2554	1
-0.354876	-145.752	-0.047619
-0.344087	127.474	-0.047619
0.328586	122.425	-0.0380952
0.33604	72.4164	1
0.327076	-82.8563	1
0.328605	-121.413	1
-0.353206	-115.747	-0.047619
