pol	phi	weight
0.38106	97.054	-0.065
0.365302	97.054	-0.065
0.393334	-70.0142	1
-0.39009	44.114	1
-0.393186	-170.172	-0.065
0.345423	135.784	-0.065
0.35975	-99.0277	-0.065
-0.401115	12.0034	1
0.372541	-47.948	1
0.341579	-127.504	1
-0.401115	-38.0352	-0.065
0.388282	-111.788	1
0.387005	-103.264	-0.065
0.393334	-103.264	1
0.341568	-103.264	1
0.391372	-162.063	1
0.384171	-115.166	1
0.37776	96.2979	1
0.385837	-95.1504	1
-0.393186	-86.1203	1
-0.401083	61.1766	-0.065
0.381118	-112.347	-0.065
0.394562	-23.4655	-0.065
0.379445	-23.4655	-0.065
0.348912	-16.6375	1
-0.40009	120.816	1
-0.364016	120.816	-0.065
0.363261	3.57256	1
0.3899	9.13207	1
0.345058	153.367	1
0.393613	-148.973	1
0.356105	-58.5592	1
0.359578	149.285	-0.065
-0.401115	-91.557	1
-0.365245	-67.8617	1
-0.400128	163.155	-0.065
0.392073	-63.8588	1
0.366968	44.8506	-0.065
0.363261	63.9758	1
0.356105	63.9758	-0.065
-0.374106	4.4488	-0.065
-0.372248	4.4488	-0.065
0.370632	-77.2893	1
0.348912	85.3602	-0.065
0.354419	159.071	-0.065
0.394125	-67.0146	1
0.359578	-67.0146	-0.065
0.372437	-67.0146	-0.065
-0.40009	69.4436	-0.065
-0.398321	-34.0876	-0.065
-0.375973	-34.0876	1
0.392073	153.869	-0.065
0.382745	153.869	-0.065
-0.377825	67.1641	-0.065
-0.363442	67.1641	1
0.3899	-7.25045	-0.065
0.357806	40.916	1
-0.368657	-43.195	-0.065
0.356105	-4.77197	-0.065
-0.401232	144.461	1
-0.360937	-95.7217	-0.065
-0.383277	-95.7217	-0.065
-0.39766	151.725	-0.065
0.38863	-8.35319	-0.065
-0.400071	108.44	-0.065
-0.399046	70.5552	1
0.375993	-121.617	1
0.393613	-52.7084	1
0.394465	-29.5421	1
-0.381481	33.9802	1
-0.357683	33.9802	-0.065
-0.395957	-112.041	-0.065
-0.375973	-112.041	1
0.392073	102.135	-0.065
-0.391667	-150.352	1
-0.401115	-22.1318	1
-0.374106	32.9338	1
-0.365245	147.225	-0.065
0.393613	117.47	1
0.377738	117.47	-0.065
0.394459	75.9273	1
0.392073	75.9273	-0.065
0.387614	95.0307	-0.065
0.378864	95.0307	-0.065
0.359276	35.9797	1
-0.397884	95.5509	1
-0.393364	95.5509	-0.065
-0.394501	140.634	-0.065
-0.397771	95.6008	-0.065
-0.393364	-137.297	1
-0.394501	-29.2152	1
-0.386229	-53.4533	-0.065
-0.363388	-53.4533	-0.065
0.348185	-99.716	1
-0.382808	9.36266	1
-0.397884	-14.4425	1
0.364809	177.959	1
0.361132	-27.4342	-0.065
0.348661	-178.78	1
-0.375406	99.5215	1
-0.349892	99.5215	-0.065
0.376639	49.846	-0.065
0.336983	49.846	1
-0.390228	22.5246	1
0.391507	-145.46	1
0.384991	-131.417	-0.065
-0.374336	-137.928	1
0.393952	-120.975	1
0.395109	-120.975	-0.065
0.371747	-120.975	-0.065
-0.399271	-145.247	-0.065
-0.399271	-145.247	-0.065
-0.382072	52.0347	1
-0.398267	-24.481	-0.065
0.351194	-26.1011	1
0.369391	105.58	1
0.378389	36.3351	-0.065
0.38011	-122.421	-0.065
-0.409971	-58.5646	-0.065
0.358776	45.4782	1
-0.404016	44.1311	-0.065
-0.382072	165.211	1
-0.394067	167.951	-0.065
-0.406823	105.295	1
0.383415	-57.5716	-0.065
0.362215	-57.5716	1
-0.382072	-76.7999	1
0.395199	-133.945	-0.065
0.351194	-133.945	-0.065
0.383415	-130.576	-0.065
0.38011	-91.7885	1
-0.411721	-70.8295	1
0.393952	130.871	1
-0.395833	6.77105	1
0.38011	-92.7156	-0.065
0.391801	-92.7156	1
0.386515	-92.7156	-0.065
0.363935	79.5065	1
0.393952	-71.0642	1
0.390627	-71.0642	-0.065
0.356946	112.173	1
0.378389	80.4729	1
0.393952	102.439	1
-0.406752	-94.5323	1
-0.387166	-178.217	1
-0.388824	51.0302	1
0.393778	-64.728	-0.065
0.383415	83.4278	1
0.383415	-123.567	-0.065
-0.401769	-73.9326	-0.065
-0.408571	-73.9326	-0.065
0.390627	-23.3108	-0.065
-0.400918	36.0211	1
-0.40906	-37.0835	1
-0.412043	83.7833	1
0.395199	-0.275926	1
-0.411721	81.9993	-0.065
-0.402506	81.9993	-0.065
0.395498	-58.7001	-0.065
0.355057	-58.7001	1
-0.412043	127.605	1
0.395199	45.307	-0.065
0.362215	45.307	1
-0.398267	-96.2082	1
-0.40796	-96.2082	-0.065
-0.378269	134.964	1
-0.410041	-39.8346	1
0.393952	118.446	-0.065
-0.378269	82.4064	-0.065
-0.399271	-6.3599	-0.065
0.387971	-160.781	1
-0.409971	-44.4284	-0.065
-0.390532	-44.4284	-0.065
-0.399271	4.47701	-0.065
-0.412043	35.4871	1
-0.374336	35.4871	1
-0.399271	18.1532	-0.065
0.395109	79.5159	1
0.375396	78.1567	1
0.361133	38.6097	1
0.391314	-0.0133662	-0.065
0.357427	-0.0133662	1
0.361133	126.952	1
0.357427	126.952	-0.065
-0.365837	-101.541	-0.065
-0.383891	-92.5913	1
-0.406937	94.629	-0.065
-0.38617	94.629	1
-0.403759	-32.6496	1
-0.369759	71.3108	1
0.395613	81.1375	1
0.366284	81.1375	1
-0.401002	-11.3923	1
-0.369759	121.067	1
-0.263084	10.5584	1
-0.292352	155.614	-0.065
0.246212	17.0518	-0.065
-0.310355	-15.6894	1
-0.284081	64.1377	1
0.268694	-12.7501	-0.065
-0.275789	133.541	1
0.302834	46.9814	-0.065
-0.295658	109.495	1
-0.310355	68.4185	1
0.246212	3.48097	1
0.256129	-81.325	-0.065
-0.295658	86.3728	1
0.29153	79.4384	1
0.246212	78.9914	1
-0.263084	119.298	1
-0.271184	71.745	1
-0.259727	-179.628	1
-0.282862	-69.9389	-0.065
-0.309413	79.642	-0.065
0.28691	157.509	1
0.264204	-84.4351	-0.065
0.283584	-55.2704	1
0.31156	-89.4319	1
0.30506	167.528	1
0.301779	10.1579	1
0.273824	10.1579	-0.065
0.290228	60.1749	1
-0.267028	-19.6481	-0.065
-0.312846	-87.4883	1
0.262654	72.3509	-0.065
0.308657	1.31391	-0.065
0.266032	-148.623	1
0.311916	-125.246	-0.065
0.302081	-125.246	-0.065
0.274147	-104.402	-0.065
-0.306134	-100.187	1
-0.270958	-67.1302	1
0.308657	30.5893	1
-0.302762	-128.931	1
0.308657	-29.4483	1
0.260963	-29.4483	-0.065
0.311916	60.0894	-0.065
-0.276187	2.3067	-0.065
-0.292589	107.671	1
-0.289186	107.671	-0.065
0.259275	51.5364	1
-0.316184	-89.7113	-0.065
-0.285886	89.8292	-0.065
0.308657	28.7042	-0.065
0.287858	-107.167	-0.065
0.278195	-43.5604	-0.065
-0.284088	119.059	-0.065
