 W/[MeV]  ,Theta  ,cosTheta   ,-t[GeVÂ²]  ,  dcs      ,   ds/dt   ,    T     ,    F     ,  Sigma    ,   E     ,    G      ,   H     ,    P      ,dcs_1/2   ,dcs_3/2
2040.56,102.0,-0.2079,0.8652,0.06099,0.6315283,0.10797,0.36015,-0.17335,0.53850,0.67476,0.29585,0.06498,0.09383,0.02815
2040.56,104.0,-0.2419,0.8858,0.06051,0.6265366,0.17418,0.39524,-0.15787,0.53630,0.67331,0.24340,0.10809,0.09296,0.02806
2040.56,106.0,-0.2756,0.9063,0.06003,0.6216209,0.23459,0.42989,-0.14152,0.53799,0.66234,0.18668,0.15110,0.09233,0.02774
2040.56,108.0,-0.3090,0.9265,0.05955,0.6166449,0.28744,0.46364,-0.12448,0.54311,0.64298,0.12655,0.19360,0.09190,0.02721
2040.56,110.0,-0.3420,0.9465,0.05905,0.6114542,0.33135,0.49607,-0.10697,0.55110,0.61659,0.06398,0.23517,0.09160,0.02651
2040.56,112.0,-0.3746,0.9663,0.05851,0.6058780,0.36534,0.52676,-0.08918,0.56134,-0.58468,0.00003,0.27542,0.09136,0.02567
2040.56,114.0,-0.4067,0.9858,0.05792,0.5997324,0.38884,0.55534,-0.07133,0.57317,-0.54885,0.06448,0.31402,0.09112,0.02472
2040.56,116.0,-0.4384,1.0050,0.05725,0.5928258,0.40168,0.58149,-0.05360,0.58596,-0.51066,0.12839,0.35065,0.09080,0.02371
2040.56,118.0,-0.4695,1.0239,0.05649,0.5849647,0.40403,0.60495,-0.03615,0.59907,-0.47164,0.19084,0.38503,0.09034,0.02265
2040.56,120.0,-0.5000,1.0424,0.05562,0.5759605,0.39639,0.62551,-0.01915,0.61193,-0.43318,0.25101,0.41697,0.08966,0.02159
2040.56,122.0,-0.5299,1.0606,0.05463,0.5656371,0.37950,0.64304,-0.00272,0.62403,-0.39651,0.30820,0.44626,0.08872,0.02054
2040.56,124.0,-0.5592,1.0783,0.05349,0.5538386,0.35428,0.65745,0.01303,0.63496,-0.36269,0.36178,0.47278,0.08745,0.01953
2040.56,126.0,-0.5878,1.0957,0.05219,0.5404361,0.32176,0.66873,0.02804,0.64434,-0.33258,0.41126,0.49642,0.08582,0.01856
2040.56,128.0,-0.6157,1.1126,0.05073,0.5253349,0.28308,0.67687,0.04224,0.65192,-0.30686,0.45625,0.51710,0.08381,0.01766
2040.56,130.0,-0.6428,1.1291,0.04911,0.5084799,0.23937,0.68192,0.05559,0.65749,-0.28602,0.49646,0.53476,0.08139,0.01682
2040.56,132.0,-0.6691,1.1450,0.04731,0.4898593,0.19177,0.68395,0.06807,0.66094,-0.27036,0.53167,0.54937,0.07858,0.01604
2040.56,134.0,-0.6947,1.1605,0.04534,0.4695079,0.14137,0.68305,0.07969,0.66221,-0.26004,0.56173,0.56087,0.07537,0.01532
2040.56,136.0,-0.7193,1.1755,0.04322,0.4475075,0.08919,0.67931,0.09046,0.66130,-0.25509,0.58656,0.56924,0.07180,0.01464
2040.56,138.0,-0.7431,1.1900,0.04095,0.4239861,0.03618,0.67283,0.10037,0.65826,-0.25539,0.60611,0.57444,0.06790,0.01399
2040.56,140.0,-0.7660,1.2038,0.03854,0.3991151,-0.01679,0.66372,0.10947,0.65320,-0.26075,0.62035,0.57644,0.06372,0.01337
2040.56,142.0,-0.7880,1.2172,0.03603,0.3731052,-0.06895,0.65205,0.11777,0.64626,-0.27085,0.62930,0.57518,0.05932,0.01275
2040.56,144.0,-0.8090,1.2299,0.03343,0.3462004,-0.11965,0.63794,0.12530,0.63764,-0.28530,0.63296,0.57061,0.05475,0.01212
2040.56,146.0,-0.8290,1.2421,0.03078,0.3186717,-0.16830,0.62145,0.13208,0.62755,-0.30364,0.63137,0.56268,0.05009,0.01146
2040.56,148.0,-0.8480,1.2536,0.02809,0.2908093,-0.21446,0.60266,0.13813,0.61627,-0.32531,0.62455,0.55132,0.04539,0.01078
2040.56,150.0,-0.8660,1.2645,0.02539,0.2629149,-0.25778,0.58166,0.14346,0.60411,-0.34969,0.61252,0.53646,0.04073,0.01005
2040.56,152.0,-0.8829,1.2748,0.02272,0.2352939,-0.29801,0.55853,0.14806,0.59144,-0.37608,0.59534,0.51804,0.03616,0.00928
2040.56,154.0,-0.8988,1.2844,0.02011,0.2082479,-0.33508,0.53334,0.15192,0.57869,-0.40367,0.57304,0.49600,0.03175,0.00847
2040.56,156.0,-0.9135,1.2934,0.01758,0.1820682,-0.36902,0.50619,0.15500,0.56637,-0.43154,0.54566,0.47029,0.02754,0.00762
2040.56,158.0,-0.9272,1.3016,0.01517,0.1570295,-0.40004,0.47718,0.15722,0.55509,-0.45863,0.51327,0.44086,0.02358,0.00675
2040.56,160.0,-0.9397,1.3092,0.01288,0.1333860,-0.42853,0.44645,0.15846,0.54563,-0.48368,0.47593,0.40771,0.01991,0.00585
2040.56,162.0,-0.9511,1.3161,0.01076,0.1113674,-0.45506,0.41413,0.15853,0.53900,-0.50512,0.43375,0.37083,0.01655,0.00496
2040.56,164.0,-0.9613,1.3223,0.00881,0.0911773,-0.48036,0.38041,0.15711,0.53657,-0.52094,0.38683,0.33027,0.01353,0.00408
2040.56,166.0,-0.9703,1.3278,0.00705,0.0729920,-0.50524,0.34548,0.15370,0.54031,-0.52840,0.33537,0.28610,0.01086,0.00324
2040.56,168.0,-0.9781,1.3326,0.00550,0.0569608,-0.53017,0.30950,0.14749,0.55313,-0.52355,0.27965,0.23853,0.00854,0.00246
2040.56,170.0,-0.9848,1.3366,0.00417,0.0432070,-0.55440,0.27250,0.13717,0.57955,-0.50052,0.22025,0.18799,0.00659,0.00175
2040.56,172.0,-0.9903,1.3399,0.00307,0.0318299,-0.57320,0.23406,0.12068,0.62640,-0.45053,0.15847,0.13554,0.00500,0.00115
2040.56,174.0,-0.9945,1.3425,0.00221,0.0229064,-0.57134,0.19256,0.09524,0.70279,-0.36199,0.09745,0.08378,0.00377,0.00066
2040.56,176.0,-0.9976,1.3443,0.00159,0.0164938,-0.51040,0.14370,0.05918,0.81421,-0.22788,0.04431,0.03862,0.00289,0.00030
2040.56,178.0,-0.9994,1.3454,0.00122,0.0126310,-0.32560,0.08011,0.01940,0.93888,-0.07528,0.01064,0.00970,0.00237,0.00007
2040.56,180.0,-1.0000,1.3458,0.00110,0.0113409,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00219,0.00000
