lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.781535
# Diagonal elements of inverse mass matrix:
# 0.00584986, 0.00337597
-12.373,0.990026,0.781535,3,7,0,12.9629,0.933574,1.06972,2.13696,1.91482,0.83238,0.645221,0.279476,0.0345943,0.569836,1.43774,2.04333,2.00348,2.05269,1.20306,0.890869,0.289646,0.235217,-2.1765,0.194613,0.0669242,0.708986,0.313888,0.515415,-3.79168,0.290374,0.863406,0.549681,-0.200733,0.202859,-1.1198,0.0788965,0.0590535,2.00329,1.77509,1.20205,0.564313,0.173659,0.221067,0.683362,1.33454,1.85625,1.99344,1.67905,1.06677,0.455928,0.145157,0.286383
-12.507,0.938413,0.781535,3,7,0,13.2467,0.94228,0.962534,1.78924,2.14091,1.66837,-0.180637,-0.368376,0.394427,0.888143,1.27309,2.05317,1.71003,1.4842,1.19016,0.521007,-0.2988,0.0798901,-3.54545,0.291277,0.201587,0.391877,0.467967,0.264368,-2.35934,0.555126,1.05424,0.343318,0.0650374,0.59033,-1.72969,-0.536693,0.266772,1.90481,1.67448,1.0961,0.452416,0.0581189,0.10597,0.572576,1.22982,1.7564,1.89487,1.57755,0.959556,0.34302,0.029351,0.171894
-13.309,0.91653,0.781535,2,3,0,13.659,1.0679,1.07666,2.13668,1.76987,1.31455,0.198976,0.168389,-0.429395,0.649944,1.71228,1.876,2.51447,1.94469,0.987248,-0.0781925,0.0581391,0.0891732,-0.672379,-0.0387637,0.0168654,0.564373,0.470203,0.26414,-3.12838,0.105616,-0.0560611,0.508216,-0.547748,0.17001,-1.54764,-0.603614,0.256452,2.14456,1.88352,1.22803,0.498533,0.0516695,0.1059,0.634712,1.37958,1.97636,2.13329,1.77366,1.07328,0.374553,0.0190665,0.180613
-13.2313,1,0.781535,2,3,0,13.5854,1.08223,1.0558,2.17723,1.93337,1.8342,0.622185,0.378391,0.0995708,0.408681,1.27924,1.71194,2.04549,1.41737,0.716007,0.67095,0.209351,0.437005,-0.729959,-0.0115453,0.0538128,0.464236,0.47071,0.142766,-2.78607,0.179487,0.0367426,0.519115,-0.50043,0.271633,-1.72229,-0.846698,0.290633,2.13803,1.87349,1.2092,0.469916,0.0170565,0.0720144,0.607922,1.36279,1.96757,2.12661,1.76216,1.05238,0.344272,-0.015984,0.14773
-12.657,0.827644,0.781535,3,7,0,15.4899,0.880569,1.00913,1.9524,1.26346,1.03154,0.50907,0.0494179,-0.219026,0.887933,1.2177,1.55183,1.14011,1.86116,1.24984,0.66203,0.0978289,-0.0196089,-3.77893,0.29129,0.166299,0.653757,0.335164,0.500319,-3.26026,0.504698,1.04972,0.296633,0.0517217,0.456736,-1.24861,0.0440876,0.0977493,1.88969,1.67445,1.13394,0.532416,0.163942,0.208659,0.644706,1.25891,1.751,1.8804,1.58386,1.00634,0.430185,0.137058,0.270266
-13.0254,0.937868,0.781535,1,1,0,13.0922,0.867456,0.991263,1.66334,1.5735,0.799088,0.72384,0.298106,0.224587,0.58466,0.937264,1.94021,2.06737,1.53639,0.950191,0.516863,0.0334509,0.367262,-4.27666,0.297641,0.186465,0.628789,0.346079,0.492063,-3.0965,0.543818,0.999604,0.183122,0.104604,0.514106,-1.29633,0.0225267,0.113282,1.85872,1.64668,1.11422,0.521652,0.158664,0.202715,0.63227,1.23733,1.72209,1.84957,1.55744,0.98852,0.420942,0.132181,0.263405
-12.1326,1,0.781535,2,3,0,13.0883,0.925878,1.04048,1.59537,1.91796,1.1747,0.396981,0.492021,0.367426,0.466102,1.33773,1.74551,1.91467,1.65629,1.01931,0.302,0.249622,0.160162,-2.65902,0.241386,0.116868,0.667941,0.35958,0.486307,-3.42985,0.394002,0.991489,0.495334,-0.0987078,0.337034,-1.24058,-0.0167546,0.112834,1.96636,1.74004,1.17172,0.539245,0.151812,0.19883,0.657313,1.30312,1.82053,1.95659,1.64479,1.03756,0.431754,0.123545,0.263606
-12.7807,0.93381,0.781535,2,3,0,12.9493,0.957338,1.0956,2.191,1.90653,1.71961,0.832018,0.396539,0.124751,0.741337,1.13726,1.83113,1.98446,1.89553,1.32198,0.5063,-0.274197,-0.0384261,-1.58617,0.116403,0.0100881,0.723468,0.306841,0.519951,-4.02225,0.160818,0.60096,0.579825,-0.340762,0.0664882,-1.07016,0.0887551,0.0440043,2.05294,1.81893,1.2313,0.57733,0.176732,0.225347,0.69941,1.36716,1.90215,2.04284,1.72044,1.09257,0.466186,0.147504,0.292325
-12.4135,1,0.781535,2,3,0,12.8096,0.982337,1.07603,2.15047,1.27586,1.24246,0.494393,0.0760118,0.385636,0.98532,0.982816,1.85199,2.00704,1.75279,1.16701,0.520669,0.14563,0.0806956,-1.52566,0.117785,0.0422799,0.677478,0.392464,0.460025,-3.59715,0.213011,0.590578,0.580152,-0.329096,0.171831,-1.24862,-0.11497,0.138317,2.05837,1.81825,1.21527,0.544228,0.133169,0.183054,0.669496,1.35468,1.90364,2.048,1.71719,1.07293,0.430181,0.103178,0.251781
-12.3701,1,0.781535,1,1,0,12.4727,0.974141,1.07459,1.91126,1.74789,1.43515,0.198029,0.541278,0.211566,0.536248,1.10541,1.70798,1.98772,1.79591,0.926966,0.0818358,0.299719,0.102933,-1.63357,0.132915,0.0472631,0.682887,0.381761,0.470592,-3.62428,0.228112,0.647116,0.579128,-0.305112,0.179033,-1.22847,-0.0819032,0.126805,2.04873,1.81062,1.21267,0.547226,0.139596,0.189065,0.671449,1.35092,1.8953,2.03846,1.7104,1.07151,0.434131,0.109856,0.257219
