lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.867916
# Diagonal elements of inverse mass matrix:
# 0.00611437, 0.00328662
-12.6592,0.926928,0.867916,2,3,0,13.2156,0.998026,0.94958,2.09979,1.45419,0.971544,0.465951,0.101867,0.362584,0.544584,1.46629,1.83886,2.17035,1.41744,0.852578,0.518004,-0.111656,0.0769936,-2.91825,0.275131,0.205221,0.177487,0.458752,0.0187591,-1.95359,0.550957,1.04771,0.455522,0.0134754,0.617945,-2.03447,-1.0175,0.313085,1.94761,1.70365,1.09105,0.409282,-0.00834204,0.0423398,0.536551,1.23268,1.79041,1.93708,1.60098,0.946425,0.293414,-0.0388118,0.112164
-12.0023,1,0.867916,2,3,0,12.6005,0.94562,1.03738,2.1407,1.97597,1.41866,0.466934,-0.535113,0.361022,0.725765,1.37378,1.88063,2.2888,1.74611,1.08271,0.671808,0.575458,0.665035,-2.43702,0.227184,0.117322,0.637976,0.397869,0.450197,-3.27804,0.386522,0.950809,0.522932,-0.126563,0.350285,-1.32389,-0.126493,0.154296,1.983,1.75186,1.17142,0.525455,0.12976,0.177781,0.646041,1.30562,1.83406,1.97303,1.65458,1.03439,0.415671,0.10089,0.243939
-12.9492,0.808152,0.867916,2,3,0,13.3526,0.879449,0.980344,1.74507,1.73344,1.61621,0.434345,0.279199,0.467555,0.480995,0.995071,1.71811,2.14817,1.51766,0.722091,0.417854,0.0487564,0.307865,-4.25896,0.297752,0.194565,0.581646,0.387442,0.456065,-2.89248,0.555144,0.99756,0.186896,0.110302,0.545416,-1.39583,-0.0842069,0.157298,1.85979,1.64482,1.105,0.50424,0.136235,0.180895,0.616388,1.22981,1.72127,1.85052,1.55435,0.977564,0.402139,0.109385,0.242424
-12.9466,1,0.867916,2,7,0,12.9799,1.06901,1.05267,2.18354,1.97727,0.811776,0.557765,0.113046,0.123632,1.06142,1.14314,1.90761,2.24094,1.959,1.28545,1.0283,-0.0207614,0.20757,-0.879275,0.0223283,0.0630448,0.479688,0.472507,0.176688,-2.81532,0.208052,0.178903,0.541849,-0.45352,0.285727,-1.68959,-0.775241,0.283539,2.12167,1.86037,1.20419,0.473942,0.0266157,0.0809021,0.610262,1.3559,1.9533,2.1104,1.75039,1.04929,0.349833,-0.0060211,0.155693
-13.5781,0.922447,0.867916,2,3,0,13.949,0.838257,0.997044,1.7859,2.23891,1.1262,0.594029,0.211497,0.105093,1.0644,1.53219,1.71397,2.07978,1.59253,1.22925,0.551244,0.0607149,-0.716317,-4.67024,0.297276,0.184934,0.675641,0.268357,0.528951,-3.33284,0.54772,0.943527,0.085558,0.128356,0.496081,-1.16915,0.166142,0.0404991,1.8353,1.6304,1.11586,0.54324,0.192471,0.235039,0.650134,1.23483,1.70327,1.82646,1.54416,0.994394,0.44592,0.166879,0.293686
-11.993,1,0.867916,2,3,0,13.3615,1.00082,1.00572,2.08832,1.86425,0.92814,0.41484,-0.154037,0.0308538,0.496851,1.15184,2.00311,1.96819,1.75893,0.810338,0.780219,0.0478852,0.176206,-2.13593,0.213867,0.150095,0.440354,0.471786,0.230712,-2.5847,0.432187,0.895211,0.552414,-0.139308,0.4696,-1.70199,-0.63354,0.273274,2.00653,1.76189,1.14758,0.46391,0.0451189,0.0959423,0.591534,1.28961,1.8489,1.99597,1.65894,1.00255,0.347718,0.014564,0.165962
-11.9765,0.998644,0.867916,2,7,0,12.0573,0.975425,1.0409,1.97243,1.7953,1.34565,0.649009,0.340796,0.076967,0.452227,1.20238,1.81371,1.89854,1.64994,0.848972,0.48295,-0.302152,0.222076,-2.01509,0.190273,0.105467,0.605963,0.431867,0.399866,-3.16129,0.348858,0.833233,0.562008,-0.195985,0.335949,-1.40955,-0.264395,0.194329,2.01632,1.77789,1.17916,0.512836,0.104669,0.154203,0.637222,1.31759,1.86269,2.00603,1.67754,1.03781,0.399591,0.0748891,0.222446
-12.6548,0.551707,0.867916,2,3,0,16.8986,0.883827,1.00133,1.8326,1.31218,1.00822,0.504254,0.266892,0.181558,0.772178,1.12981,1.72586,1.98592,1.2202,1.24605,0.0351101,0.126936,0.567327,-3.85022,0.293192,0.17425,0.631743,0.357256,0.48489,-3.13952,0.518215,1.04411,0.281007,0.0636981,0.482846,-1.29995,-0.00527935,0.121357,1.88516,1.66912,1.12661,0.522856,0.153019,0.197901,0.635562,1.25204,1.74595,1.87583,1.57819,0.998536,0.420247,0.126036,0.259736
-12.4588,0.862654,0.867916,2,3,0,14.4232,0.988848,1.07728,2.22735,1.39617,0.698676,0.516421,0.581452,0.0995436,0.652054,1.14643,1.88607,2.44909,2.02712,0.914359,0.397839,0.016175,0.416368,-1.44061,0.105077,0.0380738,0.6732,0.400334,0.451342,-3.57707,0.200381,0.542319,0.579648,-0.348873,0.165548,-1.26421,-0.141318,0.147002,2.06612,1.82441,1.21744,0.541948,0.128165,0.17838,0.668046,1.35778,1.91038,2.05569,1.72268,1.07415,0.427146,0.0979751,0.247563
-12.4696,0.796984,0.867916,2,7,0,14.3227,0.957193,0.960377,1.93526,1.66761,0.868311,0.274801,0.491621,0.373503,0.911202,1.38819,1.7451,2.08907,1.53456,0.807604,0.369147,-0.141652,0.424334,-3.35328,0.287274,0.201619,0.345663,0.472344,0.210783,-2.26291,0.55212,1.05865,0.380552,0.0490073,0.595269,-1.80113,-0.647899,0.282089,1.91757,1.6836,1.09606,0.442185,0.041647,0.0902552,0.564246,1.2319,1.76681,1.90747,1.58512,0.957351,0.331057,0.0124238,0.157223
-12.5815,0.921403,0.867916,2,3,0,13.4255,0.944355,0.957832,2.15295,1.35116,0.72649,0.737957,0.115985,0.126196,0.601213,1.11543,1.72633,1.86526,1.69654,1.09877,0.19838,0.090335,0.113858,-3.58557,0.292435,0.204772,0.365913,0.470275,0.242464,-2.29478,0.560823,1.05195,0.335084,0.0719255,0.600732,-1.76576,-0.580442,0.273816,1.90219,1.67135,1.09169,0.44659,0.0514241,0.0993804,0.567014,1.22571,1.75345,1.89222,1.5742,0.954846,0.336953,0.0225929,0.16545
-13.4124,0.617967,0.867916,2,3,0,17.3713,1.10547,1.0051,2.09464,1.62009,0.815958,0.507733,-0.434107,-0.139142,0.691296,1.27649,2.00191,2.04068,1.85886,1.20247,0.223237,-0.254619,0.450591,-0.984761,0.0702096,0.13123,0.162663,0.408225,-0.185823,-2.07497,0.345269,0.332993,0.554762,-0.363261,0.472761,-2.13184,-1.43368,0.32045,2.11057,1.84035,1.1618,0.406636,-0.0559491,0.000189038,0.547606,1.31868,1.93645,2.09891,1.72663,1.00161,0.278294,-0.0896992,0.0775307
-13.8209,0.97348,0.867916,2,3,0,14.01,0.821698,1.02938,2.09666,1.60975,1.53014,0.701688,0.44536,0.00766628,0.687834,1.23826,1.72008,2.32705,1.72382,0.959509,0.923567,0.325926,0.398197,-4.40351,0.29732,0.152253,0.729478,0.12548,0.547548,-3.8766,0.497324,0.99851,0.154032,0.0888978,0.381132,-0.962555,0.329434,-0.0917027,1.85107,1.65022,1.14585,0.584537,0.240698,0.282425,0.68932,1.26246,1.72165,1.84241,1.56569,1.02678,0.48914,0.215611,0.339913
-12.0187,1,0.867916,2,3,0,13.7314,0.952305,1.04402,1.78101,1.67604,1.1169,0.185065,0.244927,0.20126,0.783451,1.27407,1.61347,1.88012,2.20593,0.997573,0.332602,0.249999,-0.143255,-2.26472,0.211571,0.105712,0.644982,0.397524,0.451266,-3.32984,0.359982,0.905661,0.541243,-0.159103,0.322299,-1.31214,-0.126408,0.152243,1.99632,1.76354,1.179,0.528473,0.129981,0.178341,0.649911,1.31415,1.84633,1.98628,1.66557,1.04101,0.417913,0.100907,0.244967
-13.7093,0.811583,0.867916,2,3,0,13.9572,1.11125,1.04225,2.26321,1.80023,1.54888,0.444042,0.446076,0.365524,0.273925,1.6191,1.82758,2.25974,1.36895,1.08566,-0.0498223,-0.0557363,0.361587,-0.595407,-0.0341933,0.0710048,0.338508,0.445857,-0.0279447,-2.47466,0.201643,-0.0789825,0.493086,-0.522424,0.332033,-1.91986,-1.17089,0.314031,2.1535,1.88187,1.19976,0.440656,-0.0243474,0.0320842,0.582362,1.35747,1.97847,2.14178,1.76755,1.03874,0.311643,-0.0582739,0.10983
-13.5858,1,0.867916,2,7,0,14.0476,0.855432,0.968869,1.97573,1.60175,1.06054,0.457995,0.205844,0.167998,0.783671,1.3995,1.89434,1.83029,1.51553,0.921496,1.12824,0.185818,-0.00556294,-4.86025,0.294208,0.205857,0.586114,0.367109,0.474267,-2.87306,0.577742,0.891049,0.0345112,0.155962,0.574793,-1.37271,-0.0253491,0.139732,1.8243,1.6152,1.09012,0.505767,0.147812,0.191252,0.614852,1.21152,1.68957,1.81528,1.5272,0.966165,0.406454,0.121695,0.2511
-12.503,1,0.867916,2,3,0,13.7389,0.957551,1.08227,1.93432,1.52749,1.4216,0.732416,-0.205532,0.255535,0.745491,1.17156,2.00403,1.94032,1.59979,1.1497,0.730718,0.0504761,0.291898,-1.7356,0.142194,0.0369795,0.708434,0.336725,0.504447,-3.8291,0.216202,0.687375,0.576591,-0.294158,0.139004,-1.13552,0.0304704,0.0775989,2.03982,1.80576,1.218,0.563888,0.1632,0.211826,0.685995,1.35389,1.889,2.02972,1.70725,1.07925,0.452719,0.133966,0.278819
-14.7083,0.793962,0.867916,2,7,0,14.8978,0.982917,0.88287,1.86393,1.81222,1.14036,0.353109,0.125432,0.224176,0.601925,1.43529,1.73905,1.9098,1.63256,1.2794,0.508245,-0.0283755,0.484486,-4.1608,0.296579,0.229444,-0.195429,0.4014,-0.243744,-1.33886,0.603652,0.968712,0.206121,0.160209,0.69135,-2.41088,-1.44112,0.318325,1.86579,1.62552,1.02219,0.350752,-0.0605497,-0.0106351,0.476094,1.16169,1.71097,1.85542,1.52441,0.879763,0.236638,-0.0905581,0.0581323
-13.6949,1,0.867916,2,3,0,14.9216,1.04551,0.920176,2.35481,1.62439,0.601741,0.119154,-0.0318788,-0.27316,0.111417,1.2687,1.86959,1.8391,1.67499,0.962925,0.642126,-0.447916,0.0273847,-2.66819,0.270232,0.218402,-0.171036,0.362573,-0.354186,-1.44846,0.572002,1.03333,0.491723,0.0097672,0.664258,-2.43744,-1.66101,0.313518,1.96569,1.71012,1.06837,0.354173,-0.0833209,-0.0302278,0.487496,1.21675,1.80101,1.95466,1.60257,0.916871,0.232792,-0.11524,0.0429188
