lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.904706
# Diagonal elements of inverse mass matrix:
# 0.00629401, 0.00345513
-10.1102,0.996449,0.904706,2,3,0,10.9836,1.05179,1.00471,2.14546,1.76303,1.25145,0.383493,-0.285171,-0.161092,0.603885,1.17923,1.86144,2.23786,1.47346,0.967627,0.62986,0.0388798,0.689807,0.331231,-0.544377,0.822737,0.282974,-3.21478,-0.0225187,0.00640286,-0.374733,0.34431,0.0375915,0.0469527,0.0321729,0.239788,0.540011,0.286786,2.05649,1.7994,1.1538,0.435309,-0.00481087,0.0486009,0.569433,1.30306,1.89083,2.0454,1.69119,1.00138,0.3132,-0.0369219,0.122187
-10.9407,0.886409,0.904706,2,3,0,11.1845,0.978461,1.034,2.24401,1.88813,1.35933,0.453933,0.171272,0.420219,0.365923,1.65883,2.23631,2.2182,1.3935,0.960138,0.209189,-0.285165,0.335655,0.197933,-0.683844,0.766191,0.672594,-4.1277,0.546567,-0.373598,-0.408873,0.277171,0.155997,-0.0474197,-0.0487264,0.0748414,0.594778,0.34356,2.01247,1.77329,1.1727,0.504299,0.0948616,0.14455,0.629072,1.31156,1.85835,2.00214,1.67263,1.03091,0.390702,0.0649892,0.213006
-10.7851,0.99382,0.904706,3,7,0,11.3368,1.07006,0.945056,2.24682,1.67965,0.957812,0.413114,-0.193827,-0.329862,0.476481,1.21535,1.96124,2.45376,1.81233,0.749785,0.373495,-0.210125,0.00677724,0.206935,-0.795666,0.909182,-0.297036,-2.58073,-0.692366,0.332143,-0.175692,0.24879,0.15186,-0.210472,0.16449,0.325104,0.352102,0.16224,2.01511,1.75355,1.09673,0.365763,-0.0820033,-0.0276635,0.502217,1.24859,1.84657,2.00382,1.64347,0.941673,0.241532,-0.114672,0.0472005
-11.3827,0.675351,0.904706,1,3,0,13.8457,1.03233,1.10013,2.22533,1.93589,1.35212,0.669347,-0.107109,0.204486,0.750826,1.30173,2.11907,1.71385,1.67857,1.36016,0.697634,0.170781,0.121991,0.479468,-0.173744,0.41268,0.805209,-4.26851,0.61616,-0.707369,-0.77837,0.439463,-0.23192,0.378511,-0.266393,-0.0113867,0.586322,0.342035,2.13246,1.88012,1.24645,0.541255,0.109275,0.161699,0.672898,1.39296,1.96986,2.12157,1.77391,1.09686,0.421404,0.0777581,0.233924
-12.0894,0.895097,0.904706,2,3,0,12.4165,1.2045,0.949648,2.25349,1.19116,1.35842,0.303666,-0.601788,0.0131428,0.227793,1.60897,2.62379,1.96801,1.71712,0.58309,0.0263456,-0.155377,-0.243509,0.502797,-0.258754,0.888719,-1.04826,-1.69268,-2.1031,0.506928,-0.328917,0.436018,-0.315028,0.243822,0.156616,0.342957,-0.236002,-0.141338,2.15415,1.85972,1.12038,0.297574,-0.206449,-0.145282,0.451171,1.29132,1.96443,2.14144,1.73581,0.94584,0.157735,-0.243222,-0.061012
-10.2495,0.993118,0.904706,1,3,0,11.7681,1.12344,0.995777,2.12442,1.68874,1.13875,0.178995,-0.599758,0.0961943,0.460759,1.04698,1.76155,2.05964,2.12001,0.423813,-0.228226,-0.276001,-0.550089,0.461084,-0.325503,0.819492,-0.0948197,-2.57668,-0.670429,0.206691,-0.420717,0.41723,-0.175782,0.216657,0.0551862,0.312012,0.34511,0.17464,2.11922,1.84461,1.15502,0.387583,-0.0825229,-0.025472,0.530844,1.31446,1.94227,2.10737,1.72903,0.992226,0.257154,-0.116822,0.0531271
-10.13,0.965699,0.904706,1,3,0,10.5676,1.04589,1.00874,1.71811,1.68921,1.13308,0.339454,0.323121,0.151125,0.486135,1.19529,2.11719,2.08853,2.22789,0.65356,-0.211846,0.0824142,-0.261959,0.326272,-0.546594,0.814164,0.332426,-3.29887,0.0466387,-0.0306801,-0.38411,0.342592,0.0430468,0.0478195,0.0216914,0.226421,0.554818,0.296988,2.05462,1.79897,1.15699,0.44253,0.00487916,0.0579914,0.575902,1.30542,1.88989,2.04359,1.69137,1.00543,0.321106,-0.0270518,0.131164
-10.6757,0.930402,0.904706,2,3,0,10.8052,1.0899,0.952268,2.25017,2.05262,1.03301,0.468162,-0.268807,0.0746658,0.443697,0.710777,1.75396,1.95536,1.66202,0.943662,-0.0599432,-0.0140397,-0.117097,0.291671,-0.670281,0.903163,-0.331482,-2.48918,-0.803047,0.336165,-0.219517,0.304197,0.080729,-0.0958212,0.150854,0.329206,0.310309,0.141591,2.04217,1.77575,1.10676,0.362234,-0.0938349,-0.0384876,0.501218,1.26143,1.8705,2.03067,1.66363,0.948823,0.235699,-0.12711,0.0377646
-10.7621,0.772834,0.904706,2,3,0,13.0943,1.1161,1.08708,2.0794,1.80442,1.07684,0.582646,-0.097516,0.0581218,0.667144,1.1717,2.0286,1.93096,2.10481,1.35295,0.664679,-0.129419,0.049287,0.524447,0.0107377,0.419927,0.571363,-3.39515,0.14783,-0.346267,-0.832745,0.44793,-0.547431,0.490392,-0.218364,0.163894,0.566316,0.315623,2.20318,1.93036,1.24529,0.482866,0.0158345,0.0725123,0.625191,1.40368,2.02739,2.19141,1.81555,1.08356,0.35329,-0.01824,0.150597
-11.0238,0.98464,0.904706,2,3,0,11.1265,1.03779,0.936696,2.00599,2.38959,1.15111,0.452325,-0.479976,0.318759,0.186138,0.646152,1.85326,1.42973,1.39442,0.890508,0.135481,-0.126551,-0.136109,0.0550248,-0.993193,0.911176,-0.210376,-2.75985,-0.488962,0.31168,-0.118996,0.150123,0.240473,-0.393262,0.179494,0.314555,0.422495,0.199901,1.97449,1.72081,1.0838,0.374871,-0.0593929,-0.00669176,0.50721,1.23108,1.81103,1.96354,1.61405,0.933415,0.254386,-0.0910767,0.0659148
