,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009
28,0.452553,0.269861,0.612639,0.577407,0.145099,0.961834,0.808915,0.249072,-0.0638643,0.394423
29,0.0834013,0.0102328,0.807871,0.144551,0.751857,0.863775,0.372864,0.359034,0.263962,0.267344
30,0.551078,0.263533,0.8184,0.7154,0.684473,0.469925,0.559643,0.702972,-0.106764,0.431793
31,-0.159844,-0.19411,0.6181,0.37688,0.74244,0.911174,0.41191,0.602556,0.322561,0.345797
32,0.596559,0.432231,0.609514,0.790923,0.604899,0.926726,0.260125,0.299894,-0.275271,0.419383
33,0.397724,0.0705609,0.477484,0.296379,0.394811,0.714988,0.538139,0.217516,0.208076,0.565067
34,0.321559,0.232037,0.598458,0.536185,0.408764,0.571659,0.358813,0.634055,-0.095984,0.556708
35,0.283549,-0.00323517,0.851702,0.866423,0.198431,0.793673,0.898161,0.786801,0.205406,0.375572
36,0.437937,0.226722,0.666339,0.665203,0.589807,0.592573,0.202534,0.491825,-0.0803538,0.504488
37,0.577165,0.175559,0.593961,0.559475,0.211014,0.909928,0.749895,0.731382,0.193251,0.586264
38,0.184476,0.278829,0.767116,0.565827,0.534107,0.81587,0.481543,0.501871,-0.194553,0.662351
39,0.363271,-0.0166486,0.305297,0.496911,0.216115,0.720487,0.503364,0.352125,-0.012554,0.694581
40,0.395027,-0.00773181,0.625741,0.607596,0.378286,0.544994,0.47066,0.601325,-0.0483875,0.677563
41,0.201201,0.434895,0.534214,0.406538,0.191405,0.620541,0.476436,0.364734,-0.0528279,0.299245
42,0.352841,-0.16173,0.390902,0.662914,0.579321,0.790411,0.102165,0.525961,0.258561,0.511162
43,0.311935,0.119111,0.837592,0.493933,-0.0144171,0.423447,0.60644,0.878226,0.309051,0.495301
44,0.56049,0.206819,0.760426,0.6803,0.634986,0.872794,0.450249,0.478867,0.0870165,0.348835
45,0.114191,0.0197869,0.698271,0.441485,0.661717,0.519125,0.262117,0.45674,0.215638,0.451211
46,0.38378,0.26042,0.538406,0.683655,0.0860692,0.719172,0.679511,0.632402,-0.111309,0.801859
47,0.1244,-0.0476325,0.869166,0.526794,0.452137,0.718718,0.724613,0.760299,0.0227714,-0.0533777
48,0.381317,0.385657,0.588086,0.448812,0.371994,0.532826,0.768267,0.576046,-0.0214907,0.417916
49,-0.00576409,-0.241631,0.513168,0.147062,0.535338,0.896267,0.600101,0.174863,0.0345688,0.532968
50,-0.0855553,-0.105933,0.732262,0.888204,0.698686,0.556146,0.244216,0.226224,0.278968,0.511366
51,0.803247,0.283784,0.720662,0.720471,0.314636,0.638174,0.605968,0.669513,0.0504035,0.0783557
52,-0.0662553,0.0770256,0.799603,0.397045,0.398715,0.539173,0.285491,0.218058,0.256071,0.681643
53,0.645492,0.0898538,0.622631,0.683864,0.381984,0.779519,0.523141,0.184336,-0.148042,0.291856
54,0.14349,0.19948,0.605063,0.281985,0.363121,0.629615,0.376938,0.686995,-0.0389887,0.5389
55,0.284177,0.0815699,0.795911,0.734654,0.307899,0.734653,0.217093,0.19875,0.23783,0.271793
56,0.344594,0.130414,0.866807,0.423516,0.648421,0.621172,0.691494,0.803128,-0.0142885,0.363672
57,0.248619,0.306782,0.454018,0.789731,0.143145,0.616562,0.652242,0.147159,0.510929,0.442732
58,0.347315,-0.0348207,0.707641,0.769447,0.544971,0.793592,0.266898,0.702134,0.064359,0.339282
59,0.280544,0.482463,0.389224,0.518256,0.319485,0.656334,0.406901,0.0721087,0.0934022,0.466738
60,0.173994,0.223006,0.431322,0.628943,0.460463,0.658385,0.456588,0.856588,0.0359906,0.354033
61,0.537442,0.111734,0.59966,0.578975,0.246667,0.565317,0.613817,-0.052665,0.171813,0.544167
62,-0.0195757,0.166769,0.681284,0.811501,0.640362,0.443572,0.3092,0.532358,0.0326681,0.225762
63,0.615263,0.225217,0.398683,0.330218,0.124786,0.556705,0.502594,0.538091,0.139351,0.218907
64,0.0725892,-0.115899,0.614756,0.736799,0.291352,0.911363,0.367638,0.372944,0.00495275,0.496186
65,0.654,0.352066,0.514532,0.409363,0.711344,0.887772,0.588388,0.484386,0.123503,0.462086
66,0.325261,-0.114607,0.507545,0.147081,0.634907,0.472861,0.419235,0.364736,-0.0194392,0.199343
67,0.318306,0.357961,0.808649,0.868959,0.13312,0.858272,0.509401,0.616215,-0.311873,0.540088
68,0.225419,0.192892,0.407641,0.294212,0.658113,0.539612,0.530349,0.15311,0.347528,-0.202224
69,0.23683,0.0284276,0.645691,0.781502,0.436981,0.478049,0.648852,0.861594,0.196429,-0.0968497
70,0.66661,-0.232425,0.872023,0.524164,0.576964,0.786064,0.324718,0.140365,0.116413,0.845681
71,0.116553,0.427399,0.707548,0.838048,0.481861,0.36884,0.755255,0.686337,-0.0449216,-0.0994216
72,0.380429,-0.148435,0.478659,0.211247,0.684614,0.929722,0.127475,0.251956,0.321783,0.859167
73,0.508498,0.347277,0.990711,0.829158,0.333717,-0.0753528,0.736475,0.564198,-0.220878,-0.095129
74,0.119492,0.65012,0.966282,0.6809,0.435116,0.821094,0.185916,0.347012,0.270936,0.701128
75,0.0147016,-0.237219,0.298824,0.710041,0.294002,0.824362,0.792577,0.678574,-0.150339,0.322837
76,0.623477,0.529026,0.880358,0.459367,0.646222,0.505799,0.656063,0.77408,0.266211,0.303958
77,0.31138,0.0250326,0.031778,0.864133,0.698517,0.596214,0.720768,0.210737,-0.185951,0.567932
78,0.337951,0.66182,0.96406,0.575573,0.707084,0.704828,0.177599,0.875961,0.0159093,0.263818
79,0.283098,-0.514581,0.0820848,0.796824,0.597621,0.462289,0.780661,0.880641,0.121508,0.491861
80,0.254993,-0.604744,0.919429,0.379185,0.410849,0.823553,0.109458,0.67942,0.0762487,0.429503
81,0.375698,0.783593,0.498974,0.727695,0.650978,0.399066,0.725375,0.796169,-0.674659,0.20619
82,0.140463,-0.161976,0.655258,0.674854,0.234449,0.818385,0.0966163,0.567135,-0.492337,0.661857
83,0.359337,0.430703,0.936619,0.526816,0.331165,0.879422,0.772688,0.545294,0.199471,0.375867
84,0.174185,-0.102788,0.897768,0.62061,0.239372,0.706411,0.205296,0.444217,0.214578,0.457956
85,0.381081,0.147378,0.449636,0.479799,0.520376,0.659262,0.517749,0.555871,-0.0831397,0.500339
86,0.478581,-0.226957,0.563855,0.651704,0.223803,0.869936,0.548283,0.513826,0.238651,0.290702
