,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
71,-0.378891,-0.462956,0.274321,0.087989,-0.156531,-0.439752,-0.171337,-0.480268,-0.853034,-0.0154298,0.155738,0.392556,0.979987,0.405248,-0.134264,0.0395233,-0.558241,-0.301403
72,-0.610456,-0.0233014,-0.426004,-0.612766,-0.217763,0.384804,-0.834464,0.392165,-0.789899,0.296878,-0.831972,0.0581445,0.975997,0.654847,0.169689,-0.849328,0.63971,-0.433763
73,-0.484137,-0.453067,0.272152,-0.475286,-0.247113,-0.39963,-0.648717,-0.519366,-0.618695,0.179399,-0.0262852,-0.00883028,0.657193,0.480422,0.0121901,-0.780783,-0.458212,-0.381052
74,-0.796351,0.0222804,-0.427788,-0.503774,-0.253448,0.277519,-0.633423,0.168935,-0.70129,0.093091,-0.148479,0.370913,0.649385,-0.101919,0.0894534,-0.747996,-0.574455,-0.268632
75,-0.459128,-0.428119,0.119887,-0.0210634,-0.137306,0.123588,-0.468191,-0.411064,0.123735,0.255067,-0.236201,0.0148883,0.649385,0.296328,-0.249098,-0.924565,-0.119105,-0.00749627
76,-0.86384,-0.134008,0.325954,-0.634295,0.542291,-0.226311,-0.567489,0.386496,-0.710151,0.325557,-0.087035,-0.136485,-0.328547,0.0651412,0.190425,-0.91013,0.225503,-0.153589
77,-0.195421,-0.232054,-0.50301,0.0772169,0.699495,0.0772222,-0.529238,-0.290869,-0.848533,0.410116,-0.392126,0.39495,0.618447,-0.0859018,0.200806,-0.616382,-0.030536,-0.382502
78,-0.820666,-0.601502,0.395456,-0.658679,-0.434338,-0.0767021,-0.531873,-0.00707607,-0.57966,-0.0804638,-0.323682,-0.339455,-0.346975,0.440568,0.191476,-0.57167,0.429468,-0.138938
79,-0.288545,0.135775,0.855367,0.440037,0.210381,-0.559814,-0.730379,-0.391939,-0.182614,0.568706,0.257172,0.575679,-0.193356,-0.0622487,-0.113288,-0.898574,0.304107,-0.670765
80,-0.779705,0.444519,-0.892746,-0.0508846,0.388855,0.284314,-0.247448,-0.000150881,-0.738714,0.114825,-0.0171021,0.367391,0.533699,0.0727957,0.132508,-0.681021,-0.230592,-0.54011
81,-0.301833,-0.916402,0.829883,-0.675841,-0.00808735,-0.228248,-0.795214,-0.227283,-0.278559,0.335075,-0.442969,-0.0242572,0.0911142,0.332099,0.227074,-0.64555,0.477716,0.166139
82,-0.627338,-0.933333,-0.667298,0.124704,-0.344954,-0.0572247,-0.273741,-0.141143,-0.29682,0.328036,-0.138258,0.163935,0.0962814,0.127544,0.292439,-0.467681,-0.270321,-0.724575
83,-0.605144,-0.489237,-0.475783,-0.634195,-0.56912,-0.0117854,-0.941264,-0.279912,-0.218085,-0.0821321,-0.388418,0.039104,0.414459,0.741806,-0.30358,-0.239498,0.350521,0.395844
84,-0.518286,-0.446677,0.116191,0.113315,-0.407207,-0.446247,-0.804557,-0.336311,-0.425034,0.135524,-0.168936,0.0254824,0.472678,-0.25641,0.308937,-0.36333,-0.52997,-0.560602
85,-0.622711,-0.39129,-0.129558,-0.660414,-0.122375,0.298034,-0.178278,-0.163073,-0.549827,0.17993,-0.548044,0.0776582,-0.28545,0.642745,-0.216367,-0.696192,0.67864,0.0787041
