,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],sigma_bkg,a_bkg[1],a_bkg[2],a_bkg[3],a_bkg[4],b_bkg[1],b_bkg[2],b_bkg[3],b_bkg[4]
1922,-0.699219,0.865864,0.569286,3.0,7.0,0.0,7.27417,0.0205654,0.00721066,-0.000853806,-0.00482137,0.122996,-0.100895,-0.0351335,-0.0601486,0.0212896,-0.0764322,0.0842398,-0.074127,0.0706963,-0.00584011,-0.152923,-0.0276655,0.00324894,-0.0314216
1923,1.40325,0.799309,0.569286,3.0,7.0,0.0,9.48134,-0.255172,0.0924012,0.028553,-0.101052,-0.0674417,-0.0254455,0.00116775,-0.0772064,-0.0311381,-0.108954,-0.00329429,0.0225976,0.0761189,-0.108944,-0.02674,-0.0689551,-0.021701,0.0910231
1924,-4.88104,0.660206,0.569286,3.0,7.0,0.0,9.07761,-0.291124,0.071757,-0.0658756,0.0440397,0.0917515,0.0486198,-0.0230492,0.0203765,-0.106954,-0.112332,-0.111351,0.0809619,0.0971548,-0.0854719,-0.11623,-0.0196859,0.0184701,0.0273454
1925,-5.03271,0.971032,0.569286,3.0,7.0,0.0,14.1251,-0.0161252,-0.0406555,-0.0113046,0.0390303,0.0546543,-0.0590723,-0.0372834,-0.199418,0.0547725,-0.225073,0.0625809,-0.0407755,-0.0792613,-0.0109885,-0.176708,-0.126047,0.0534042,0.021861
1926,-6.09799,0.91073,0.569286,3.0,7.0,0.0,15.3715,-0.587579,0.0790071,0.0578376,-0.081506,0.0485407,0.018898,0.0362737,-0.0406886,-0.017319,-0.250154,0.0122144,-0.0271588,0.10758,-0.190467,-0.0301082,0.158612,-0.0657103,0.0203684
1927,-7.04038,0.845104,0.569286,3.0,7.0,0.0,17.1086,-0.103791,0.0134742,0.0532527,-0.0614207,0.151511,-0.214676,-0.0027156,-0.0329707,-0.11258,0.122972,-0.00436575,-0.0824977,0.0730256,-0.0570142,-0.123542,-0.095104,0.0422699,-0.110657
1928,-7.54284,0.950825,0.569286,3.0,7.0,0.0,12.0497,-0.153151,0.135951,-0.0062756,-0.0438217,-0.105009,0.121318,0.0967674,-0.0732607,0.107854,-0.597453,0.0919024,0.0154132,0.000676665,-0.0733295,-0.0933134,-0.0917925,-0.0812108,0.128588
1929,-2.61209,0.938018,0.569286,3.0,7.0,0.0,14.3777,-0.156246,-0.0109735,0.0346275,-0.0636732,0.145881,-0.115566,-0.00208854,-0.0334477,-0.0893934,-0.460003,-0.0489266,-0.0621338,0.114047,-0.0472964,-0.0591768,-0.0125561,0.00248953,-0.0696063
1930,-2.43242,0.991091,0.569286,3.0,7.0,0.0,7.61405,-0.223396,0.14482,-0.00622137,-0.0291687,-0.116384,-4.15597e-05,0.038946,-0.0716714,0.0912295,-0.29609,0.0991591,0.00860732,0.0323885,-0.109381,-0.133176,-0.103478,-0.056469,0.116105
1931,-0.385402,0.82739,0.569286,3.0,7.0,0.0,10.0984,0.184873,0.0360535,0.00985465,-0.0719114,0.102407,-0.0219515,-0.0081231,-0.0599421,-0.114083,-0.385538,0.0476294,-0.0042091,0.05667,-0.101047,-0.0857223,-0.0767876,-0.00755562,-0.0699718
